"Sample Name"	"Common Name"	"SampleNumber"	"samBaseNum"	"Genus"	"Species"	"Coordinates"	"DNA"	"Tissue"	"Date"	"Number"	"Name collector"	"Sex"	"Split"	"Country"	"Locality"	"Comments"	"Sample"
"RG4907"	"giant eland"	"D2301170963"	117.7	"Taurotragus"	"derbianus"	NA	NA	NA	NA	NA	NA	NA	NA	"Uganda"	"-"	"Box7"	"TderUga_0963"
"RG8295"	"giant eland"	"D2301170964"	113.82	"Taurotragus"	"derbianus"	NA	NA	NA	NA	NA	NA	NA	NA	"Chad"	"-"	"Box7"	"TderCha_0964"
"Sudan I 88"	"giant eland"	"D2301170965"	99.42	"Taurotragus"	"derbianus"	NA	NA	NA	NA	NA	NA	NA	NA	"South Sudan?"	"Sudan"	"Box7"	"TderSSu_0965"
"Sudan I 90"	"giant eland"	"D2301170966"	117.86	"Taurotragus"	"derbianus"	NA	NA	NA	NA	NA	NA	NA	NA	"South Sudan?"	"Sudan"	"Box7"	"TderSSu_0966"
"1060"	"greater kudu"	"D2301170742"	69.9	"Tragelaphus"	"strepsiceros"	NA	"457"	"dry skin"	"94-05-02"	"BP20"	NA	NA	NA	"Namibia"	"Corona (Gamsberg)"	"Box3"	"TstrNam_0742"
"1061"	"greater kudu"	"D2301170743"	82.58	"Tragelaphus"	"strepsiceros"	NA	"458"	"dry skin"	"94-05-02"	"BP21"	NA	NA	NA	"Namibia"	"Corona (Gamsberg)"	"Box3"	"TstrNam_0743"
"1062"	"greater kudu"	"D2301170744"	93.04	"Tragelaphus"	"strepsiceros"	NA	"459"	"dry skin"	"94-05-02"	"BP22"	NA	NA	NA	"Namibia"	"Corona (Gamsberg)"	"Box3"	"TstrNam_0744"
"1063"	"greater kudu"	"D2301170745"	102.02	"Tragelaphus"	"strepsiceros"	NA	"460"	"dry skin"	"94-05-02"	"BP23"	NA	NA	NA	"Namibia"	"Corona (Gamsberg)"	"Box3"	"TstrNam_0745"
"1064"	"greater kudu"	"D2301170746"	104.54	"Tragelaphus"	"strepsiceros"	NA	"45"	"dry skin"	"94-05-02"	"BP24"	NA	NA	NA	"Namibia"	"Corona (Gamsberg)"	"Box3"	"TstrNam_0746"
"1065"	"greater kudu"	"D2301170747"	100.3	"Tragelaphus"	"strepsiceros"	NA	"46"	"dry skin"	"94-05-02"	"BP25"	NA	NA	NA	"Namibia"	"Corona (Gamsberg)"	"Box3"	"TstrNam_0747"
