P1	P2	P3	Dstatistic	Z-score	p-value	BBAA	ABBA	BABA
TspeZam	ScafKen	TimbAby	0.0516932	30.6877	2.3e-16	686540	518459	467492
TstrBot	ScafKen	TimbAby	0.0627819	44.2116	2.3e-16	672876	526537	464329
TstrNA-	ScafKen	TimbAby	0.0715976	47.9014	2.3e-16	660377	529998	459175
TstrNam	ScafKen	TimbAby	0.0634489	45.2623	2.3e-16	672158	527399	464466
TstrRSA	ScafKen	TimbAby	0.0617711	42.7553	2.3e-16	665470	520825	460224
TstrTan	ScafKen	TimbAby	0.0607893	43.6082	2.3e-16	671985	525560	465325
TstrZam	ScafKen	TimbAby	0.0608254	43.6237	2.3e-16	672001	525497	465236
TstrZim	ScafKen	TimbAby	0.0606995	42.6009	2.3e-16	671496	525616	465459
TimbKen	TimbEth	ScafKen	0.000112917	0.083226	0.933672	937649	31679.8	31672.7
TimbSom	TimbEth	ScafKen	0.0204098	9.77996	2.3e-16	937913	32888.3	31572.7
TimbTan	TimbEth	ScafKen	0.00984061	4.55924	5.13392e-06	937920	32097.6	31472
TimbUga	TimbEth	ScafKen	0.00818969	5.37845	7.51283e-08	941121	29173.3	28699.3
ToryBot	ScafKen	TimbEth	0.0485185	18.3176	2.3e-16	663511	541419	491313
ToryEth	ScafKen	TimbEth	0.0478548	17.9338	2.3e-16	663965	540806	491409
ToryKen	ScafKen	TimbEth	0.0483729	18.1999	2.3e-16	661509	539636	489838
ToryNam	ScafKen	TimbEth	0.047706	17.8109	2.3e-16	663934	540809	491559
ToryRSA	ScafKen	TimbEth	0.0519696	18.2567	2.3e-16	616059	507362	457232
ToryTan	ScafKen	TimbEth	0.0483751	18.0944	2.3e-16	663681	541238	491290
ToryZam	ScafKen	TimbEth	0.0481519	18.1886	2.3e-16	663747	541191	491467
ToryZim	ScafKen	TimbEth	0.0491033	18.5013	2.3e-16	662984	542064	491322
TscrGha	ScafKen	TimbEth	0.0255843	14.1376	2.3e-16	721609	464397	441227
TspeBot	ScafKen	TimbEth	0.0474406	29.9731	2.3e-16	694528	523445	476030
TspeCam	ScafKen	TimbEth	0.049247	28.8132	2.3e-16	696241	525691	476343
TspeCon	ScafKen	TimbEth	0.0485388	27.7384	2.3e-16	695173	523547	475075
TspeDRC	ScafKen	TimbEth	0.0493471	29.873	2.3e-16	695900	525665	476225
TspeGha	ScafKen	TimbEth	0.047652	27.5774	2.3e-16	691480	520510	473159
TspeTan	ScafKen	TimbEth	0.0477004	28.5593	2.3e-16	694701	524441	476687
