P1	P2	P3	Dstatistic	Z-score	p-value	BBAA	ABBA	BABA
TderCha	TspeZam	ScafKen	0.0453859	22.0404	2.3e-16	2.28749e+06	1.02313e+06	934291
TstrBot	TderCha	ScafKen	0.0873922	23.4757	2.3e-16	2.06766e+06	1.21795e+06	1.02218e+06
TstrNA-	TderCha	ScafKen	0.0972726	26.8109	2.3e-16	2.05409e+06	1.23385e+06	1.01509e+06
TstrNam	TderCha	ScafKen	0.0879057	23.6119	2.3e-16	2.06716e+06	1.2174e+06	1.02066e+06
TstrRSA	TderCha	ScafKen	0.0852965	23.2527	2.3e-16	2.0668e+06	1.2131e+06	1.02242e+06
TstrTan	TderCha	ScafKen	0.0871815	23.4964	2.3e-16	2.06587e+06	1.21678e+06	1.02163e+06
TstrZam	TderCha	ScafKen	0.087276	23.4945	2.3e-16	2.06871e+06	1.21611e+06	1.02087e+06
TstrZim	TderCha	ScafKen	0.0872708	23.4812	2.3e-16	2.06521e+06	1.21643e+06	1.02115e+06
TderUga	TderSSu	ScafKen	0.0214446	11.0407	2.3e-16	5.77185e+06	40896.4	39179.2
TderSSu	TimbAby	ScafKen	0.00313968	1.33958	0.180383	1.07815e+06	1.43414e+06	1.42516e+06
TderSSu	TimbEth	ScafKen	0.003761	1.63628	0.101782	1.07481e+06	1.43278e+06	1.42205e+06
TderSSu	TimbKen	ScafKen	0.00413543	1.77217	0.0763669	1.07192e+06	1.43528e+06	1.42346e+06
TderSSu	TimbSom	ScafKen	0.00311053	1.35389	0.175771	1.07799e+06	1.43607e+06	1.42716e+06
TderSSu	TimbTan	ScafKen	0.00361091	1.57107	0.116166	1.07144e+06	1.43531e+06	1.42498e+06
TderSSu	TimbUga	ScafKen	0.00407601	1.77091	0.0765754	1.07366e+06	1.43862e+06	1.42694e+06
ToryBot	TderSSu	ScafKen	0.017213	10.4904	2.3e-16	4.52827e+06	485482	469052
ToryEth	TderSSu	ScafKen	0.0143721	8.75061	2.3e-16	4.53515e+06	482533	468859
ToryKen	TderSSu	ScafKen	0.0146524	9.30285	2.3e-16	4.53368e+06	482746	468803
ToryNam	TderSSu	ScafKen	0.0150994	9.19455	2.3e-16	4.53319e+06	483404	469023
ToryRSA	TderSSu	ScafKen	0.0149294	8.71801	2.3e-16	4.53004e+06	483524	469299
ToryTan	TderSSu	ScafKen	0.0153874	9.78935	2.3e-16	4.53255e+06	483724	469063
ToryZam	TderSSu	ScafKen	0.0156821	9.64189	2.3e-16	4.53416e+06	483699	468763
ToryZim	TderSSu	ScafKen	0.0195787	12.3514	2.3e-16	4.52017e+06	488436	469678
TderSSu	TscrGha	ScafKen	0.125908	45.0756	2.3e-16	1.89518e+06	1.25743e+06	976196
TderSSu	TspeBot	ScafKen	0.044059	21.6313	2.3e-16	2.2897e+06	1.01856e+06	932598
TderSSu	TspeCam	ScafKen	0.0431605	20.9959	2.3e-16	2.29494e+06	1.02232e+06	937727
TderSSu	TspeCon	ScafKen	0.0452878	23.7814	2.3e-16	2.29454e+06	1.02077e+06	932319
TderSSu	TspeDRC	ScafKen	0.0430818	21.6166	2.3e-16	2.29519e+06	1.02205e+06	937626
TderSSu	TspeGha	ScafKen	0.045355	25.1509	2.3e-16	2.29221e+06	1.01892e+06	930502
TderSSu	TspeTan	ScafKen	0.0429564	19.9391	2.3e-16	2.28818e+06	1.01945e+06	935470
TderSSu	TspeZam	ScafKen	0.0434197	21.1702	2.3e-16	2.2873e+06	1.01859e+06	933815
TstrBot	TderSSu	ScafKen	0.0893732	24.0467	2.3e-16	2.06602e+06	1.21791e+06	1.01807e+06
TstrNA-	TderSSu	ScafKen	0.0992646	27.4098	2.3e-16	2.0525e+06	1.2338e+06	1.01098e+06
TstrNam	TderSSu	ScafKen	0.0898895	24.1834	2.3e-16	2.06552e+06	1.21735e+06	1.01655e+06
TstrRSA	TderSSu	ScafKen	0.0872791	23.8281	2.3e-16	2.06512e+06	1.21303e+06	1.01829e+06
TstrTan	TderSSu	ScafKen	0.089164	24.0799	2.3e-16	2.0642e+06	1.21673e+06	1.01752e+06
TstrZam	TderSSu	ScafKen	0.0892607	24.0707	2.3e-16	2.06707e+06	1.21605e+06	1.01675e+06
TstrZim	TderSSu	ScafKen	0.0892539	24.0601	2.3e-16	2.06355e+06	1.21638e+06	1.01704e+06
TderUga	TimbAby	ScafKen	0.00373945	1.58074	0.113938	1.08023e+06	1.4353e+06	1.42461e+06
TderUga	TimbEth	ScafKen	0.00436159	1.87959	0.0601642	1.07688e+06	1.43394e+06	1.42149e+06
TderUga	TimbKen	ScafKen	0.0047351	2.01036	0.0443926	1.07399e+06	1.43644e+06	1.42291e+06
TderUga	TimbSom	ScafKen	0.00370949	1.59959	0.109689	1.08008e+06	1.43723e+06	1.4266e+06
TderUga	TimbTan	ScafKen	0.0042104	1.81423	0.0696416	1.07354e+06	1.43646e+06	1.42442e+06
