P1	P2	P3	Dstatistic	Z-score	p-value	BBAA	ABBA	BABA
TderUga	TspeCon	ScafKen	0.0428057	25.2117	2.3e-16	1.47471e+06	618118	567372
TderUga	TspeDRC	ScafKen	0.0406557	22.5814	2.3e-16	1.47622e+06	619386	570991
TderUga	TspeGha	ScafKen	0.0432226	26.1444	2.3e-16	1.46824e+06	615119	564148
TderUga	TspeTan	ScafKen	0.0415038	19.86	2.3e-16	1.47389e+06	618924	569596
TderUga	TspeZam	ScafKen	0.0405739	20.4919	2.3e-16	1.45155e+06	609395	561872
TderUga	TstrBot	ScafKen	0.0317697	18.8287	2.3e-16	1.36942e+06	615826	577901
TderUga	TstrNA-	ScafKen	0.0190488	10.8034	2.3e-16	1.34734e+06	605803	583154
TderUga	TstrNam	ScafKen	0.0303431	17.7899	2.3e-16	1.36864e+06	615315	579073
TderUga	TstrRSA	ScafKen	0.0318996	18.801	2.3e-16	1.3542e+06	609308	571637
TderUga	TstrTan	ScafKen	0.0319902	19.0533	2.3e-16	1.3687e+06	615459	577302
TderUga	TstrZam	ScafKen	0.0321411	19.0646	2.3e-16	1.36959e+06	615116	576807
TderUga	TstrZim	ScafKen	0.0315455	18.7683	2.3e-16	1.36825e+06	615253	577624
TimbAby	TimbEth	ScafKen	0.0302484	12.0132	2.3e-16	1.29929e+06	38955	36667.5
TimbAby	TimbKen	ScafKen	0.0320753	16.2716	2.3e-16	1.30141e+06	36986.9	34687.9
TimbAby	TimbSom	ScafKen	0.00222867	1.12334	0.261295	1.30203e+06	36570.3	36407.7
TimbAby	TimbTan	ScafKen	0.0226604	9.56881	2.3e-16	1.30161e+06	36797.8	35167
TimbAby	TimbUga	ScafKen	0.0177303	7.15226	8.53595e-13	1.3032e+06	35616	34375
ToryBot	ScafKen	TimbAby	0.0157093	7.15345	8.46245e-13	839865	715405	693276
ToryEth	ScafKen	TimbAby	0.0152251	6.90151	5.14527e-12	840349	714762	693324
ToryKen	ScafKen	TimbAby	0.015466	7.05526	1.72279e-12	837396	713025	691305
ToryNam	ScafKen	TimbAby	0.0151155	6.89754	5.29121e-12	840312	714784	693498
ToryRSA	ScafKen	TimbAby	0.0181701	8.09881	5.55003e-16	779943	669154	645271
ToryTan	ScafKen	TimbAby	0.0154877	7.02211	2.18542e-12	840007	715134	693321
ToryZam	ScafKen	TimbAby	0.0154313	7.06281	1.63169e-12	840148	715232	693493
ToryZim	ScafKen	TimbAby	0.0162673	7.4394	1.01144e-13	839236	716290	693359
TscrGha	ScafKen	TimbAby	0.0264708	19.309	2.3e-16	902001	655379	621577
TspeBot	ScafKen	TimbAby	0.0250368	16.3747	2.3e-16	876938	705577	671109
TspeCam	ScafKen	TimbAby	0.0271476	17.0594	2.3e-16	878855	708991	671514
TspeCon	ScafKen	TimbAby	0.0263165	16.4354	2.3e-16	877620	705808	669611
TspeDRC	ScafKen	TimbAby	0.0272667	17.3828	2.3e-16	878600	708937	671302
TspeGha	ScafKen	TimbAby	0.0251962	16.2684	2.3e-16	873141	701728	667235
TspeTan	ScafKen	TimbAby	0.0253734	15.7595	2.3e-16	877273	706680	671705
TspeZam	ScafKen	TimbAby	0.0260693	16.4101	2.3e-16	863918	697650	662200
TstrBot	ScafKen	TimbAby	0.0221175	15.9751	2.3e-16	849597	690482	660599
TstrNA-	ScafKen	TimbAby	0.0286799	20.8751	2.3e-16	834345	692247	653647
TstrNam	ScafKen	TimbAby	0.0226684	16.3384	2.3e-16	848812	691389	660738
TstrRSA	ScafKen	TimbAby	0.0213424	14.8035	2.3e-16	840346	682948	654406
TstrTan	ScafKen	TimbAby	0.0202648	14.7258	2.3e-16	848506	689164	661787
TstrZam	ScafKen	TimbAby	0.0203043	14.8974	2.3e-16	848572	689077	661651
TstrZim	ScafKen	TimbAby	0.0200299	14.3756	2.3e-16	847913	689097	662034
TimbEth	TimbKen	ScafKen	0.000146443	0.102758	0.918155	1.3005e+06	36086	36075.4
TimbSom	TimbEth	ScafKen	0.0287892	12.4503	2.3e-16	1.30088e+06	37975	35849.6
TimbTan	TimbEth	ScafKen	0.00909287	4.49554	6.93937e-06	1.30078e+06	36500.3	35842.5
TimbUga	TimbEth	ScafKen	0.0162397	8.46909	2.3e-16	1.30564e+06	32634.8	31591.7
ToryBot	ScafKen	TimbEth	0.0150508	6.70953	1.95246e-11	837236	715046	693842
ToryEth	ScafKen	TimbEth	0.0145326	6.43143	1.26405e-10	837686	714372	693906
ToryKen	ScafKen	TimbEth	0.0148278	6.5856	4.5304e-11	834768	712665	691840
ToryNam	ScafKen	TimbEth	0.0144476	6.43624	1.22473e-10	837677	714421	694071
ToryRSA	ScafKen	TimbEth	0.0174622	7.60405	2.87001e-14	777420	668758	645803
ToryTan	ScafKen	TimbEth	0.014849	6.57794	4.77008e-11	837378	714777	693860
ToryZam	ScafKen	TimbEth	0.014805	6.62321	3.51477e-11	837531	714883	694024
ToryZim	ScafKen	TimbEth	0.0155894	6.96938	3.18336e-12	836601	715925	693946
TscrGha	ScafKen	TimbEth	0.0251694	18.1651	2.3e-16	899330	654867	622711
TspeBot	ScafKen	TimbEth	0.0219841	13.9908	2.3e-16	873403	704336	674034
TspeCam	ScafKen	TimbEth	0.0242078	14.8831	2.3e-16	875361	707801	674342
TspeCon	ScafKen	TimbEth	0.0233388	14.1796	2.3e-16	874128	704612	672473
TspeDRC	ScafKen	TimbEth	0.0243081	15.1376	2.3e-16	875097	707739	674148
TspeGha	ScafKen	TimbEth	0.0222374	13.9805	2.3e-16	869687	700574	670094
TspeTan	ScafKen	TimbEth	0.0222565	13.508	2.3e-16	873710	705424	674708
TspeZam	ScafKen	TimbEth	0.0230923	14.2066	2.3e-16	860438	696446	665007
TstrBot	ScafKen	TimbEth	0.0180159	12.7165	2.3e-16	845616	688785	664406
TstrNA-	ScafKen	TimbEth	0.0246367	17.4911	2.3e-16	830423	690579	657370
TstrNam	ScafKen	TimbEth	0.0186327	13.1212	2.3e-16	844855	689716	664484
TstrRSA	ScafKen	TimbEth	0.0173026	11.7609	2.3e-16	836446	681308	658132
TstrTan	ScafKen	TimbEth	0.0161934	11.4825	2.3e-16	844539	687484	665573
TstrZam	ScafKen	TimbEth	0.0162273	11.5979	2.3e-16	844600	687390	665438
TstrZim	ScafKen	TimbEth	0.0159558	11.1712	2.3e-16	843940	687410	665818
TimbSom	TimbKen	ScafKen	0.0308211	16.1712	2.3e-16	1.30341e+06	35729.7	33593.1
TimbTan	TimbKen	ScafKen	0.0103953	5.96543	2.43995e-09	1.30531e+06	32489.3	31820.8
TimbUga	TimbKen	ScafKen	0.0158848	8.41316	2.3e-16	1.30435e+06	33820.2	32762.6
ToryBot	ScafKen	TimbKen	0.0172952	7.78059	7.21883e-15	838350	716187	691835
ToryEth	ScafKen	TimbKen	0.0168097	7.52601	5.23157e-14	838831	715542	691884
ToryKen	ScafKen	TimbKen	0.0170836	7.69077	1.46253e-14	835906	713830	689850
ToryNam	ScafKen	TimbKen	0.0167071	7.52415	5.30626e-14	838803	715574	692056
ToryRSA	ScafKen	TimbKen	0.0197221	8.66789	2.3e-16	778506	669850	643939
ToryTan	ScafKen	TimbKen	0.0171099	7.66985	1.72194e-14	838514	715939	691851
ToryZam	ScafKen	TimbKen	0.0170678	7.72434	1.12435e-14	838659	716041	692008
ToryZim	ScafKen	TimbKen	0.0178378	8.05468	7.96889e-16	837718	717070	691937
TscrGha	ScafKen	TimbKen	0.026402	19.4611	2.3e-16	899936	655484	621762
TspeBot	ScafKen	TimbKen	0.0244435	15.7665	2.3e-16	874557	705484	671817
TspeCam	ScafKen	TimbKen	0.0266227	16.5561	2.3e-16	876491	708921	672153
TspeCon	ScafKen	TimbKen	0.0257819	15.9472	2.3e-16	875260	705740	670264
TspeDRC	ScafKen	TimbKen	0.0267348	16.8725	2.3e-16	876228	708859	671944
TspeGha	ScafKen	TimbKen	0.0246349	15.7474	2.3e-16	870785	701654	667915
TspeTan	ScafKen	TimbKen	0.0247359	15.1866	2.3e-16	874862	706561	672449
TspeZam	ScafKen	TimbKen	0.0255413	15.9535	2.3e-16	861584	697588	662841
TstrBot	ScafKen	TimbKen	0.0213479	15.3127	2.3e-16	847130	690306	661448
TstrNA-	ScafKen	TimbKen	0.0279224	20.1715	2.3e-16	831922	692080	654481
TstrNam	ScafKen	TimbKen	0.0219581	15.7299	2.3e-16	846373	691242	661537
TstrRSA	ScafKen	TimbKen	0.0206309	14.238	2.3e-16	837935	682808	655204
TstrTan	ScafKen	TimbKen	0.0195279	14.1035	2.3e-16	846056	689006	662612
TstrZam	ScafKen	TimbKen	0.0195524	14.2085	2.3e-16	846110	688907	662484
TstrZim	ScafKen	TimbKen	0.0192678	13.7214	2.3e-16	845446	688922	662876
TimbSom	TimbTan	ScafKen	0.021036	8.44293	2.3e-16	1.30356e+06	35628.6	34160.5
TimbSom	TimbUga	ScafKen	0.0158348	6.16367	7.10787e-10	1.30483e+06	34597.1	33518.5
ToryBot	ScafKen	TimbSom	0.0165523	7.33285	2.25308e-13	840471	716172	692850
ToryEth	ScafKen	TimbSom	0.0160551	7.07594	1.48438e-12	840939	715513	692901
ToryKen	ScafKen	TimbSom	0.0163167	7.22105	5.1589e-13	838006	713798	690878
ToryNam	ScafKen	TimbSom	0.0159542	7.0779	1.46354e-12	840921	715555	693082
ToryRSA	ScafKen	TimbSom	0.0189626	8.22039	2.3e-16	780470	669820	644889
ToryTan	ScafKen	TimbSom	0.0163402	7.20897	5.63772e-13	840618	715906	692887
ToryZam	ScafKen	TimbSom	0.0162929	7.26742	3.66417e-13	840761	716006	693049
ToryZim	ScafKen	TimbSom	0.0171005	7.60291	2.89546e-14	839840	717055	692944
TscrGha	ScafKen	TimbSom	0.0266258	19.3404	2.3e-16	902308	655838	621819
TspeBot	ScafKen	TimbSom	0.0250759	15.8146	2.3e-16	877248	706038	671495
TspeCam	ScafKen	TimbSom	0.0271867	16.5515	2.3e-16	879152	709446	671892
TspeCon	ScafKen	TimbSom	0.0263652	15.9583	2.3e-16	877921	706265	669980
