P1	P2	P3	Dstatistic	Z-score	p-value	BBAA	ABBA	BABA
TderSSu	TstrTan	ScafKen	0.0307457	18.5803	2.3e-16	1.37192e+06	615511	578791
TderSSu	TstrZam	ScafKen	0.0306561	18.2689	2.3e-16	1.37122e+06	615172	578577
TderSSu	TstrZam1	ScafKen	0.0307652	18.4571	2.3e-16	1.36403e+06	609888	573481
TderSSu	TstrZim	ScafKen	0.0303023	18.3255	2.3e-16	1.37148e+06	615307	579113
TderUga	ScafKen	TimbAby	0.0344143	17.3182	2.3e-16	862884	742412	693013
TderUga	ScafKen	TimbEth	0.0344072	16.8478	2.3e-16	860532	742329	692945
TderUga	ScafKen	TimbKen	0.0364687	18.1148	2.3e-16	861565	743383	691070
TderUga	ScafKen	TimbSom	0.0354811	17.4135	2.3e-16	863632	743320	692380
TderUga	ScafKen	TimbTan	0.0365104	18.0146	2.3e-16	862113	743262	690900
TderUga	ScafKen	TimbUga	0.0373769	18.2527	2.3e-16	863515	744274	690641
TderUga	ToryBot1	ScafKen	0.00450059	2.59949	0.0093363	2.29306e+06	286062	283498
TderUga	ToryBot2	ScafKen	0.00706605	3.95657	7.60351e-05	2.29498e+06	286217	282201
TderUga	ToryEth1	ScafKen	0.00830043	4.84726	1.2518e-06	2.295e+06	285999	281290
TderUga	ToryEth2	ScafKen	0.00735846	4.31486	1.59702e-05	2.29466e+06	285847	281671
TderUga	ToryKen1	ScafKen	0.00661541	3.8011	0.000144055	2.24953e+06	280010	276330
TderUga	ToryKen2	ScafKen	0.00356206	1.80976	0.0703324	1.96084e+06	247323	245568
TderUga	ToryNam1	ScafKen	0.00782769	4.7746	1.80065e-06	2.29566e+06	286203	281758
TderUga	ToryNam2	ScafKen	0.00745072	4.5724	4.82168e-06	2.29552e+06	286139	281907
TderUga	ToryRSA	ScafKen	0.00460484	2.26774	0.023345	2.13925e+06	265727	263291
TderUga	ToryTan1	ScafKen	0.00673706	4.06035	4.89989e-05	2.29497e+06	285998	282170
TderUga	ToryTan2	ScafKen	0.00625953	3.67661	0.000236352	2.2945e+06	285888	282332
TderUga	ToryZam1	ScafKen	0.00658016	4.06312	4.84204e-05	2.29569e+06	285814	282078
TderUga	ToryZam2	ScafKen	0.00658881	4.00668	6.15794e-05	2.29604e+06	285821	282080
TderUga	ToryZim1	ScafKen	0.00398339	2.49788	0.0124939	2.29289e+06	286536	284263
TderUga	ToryZim2	ScafKen	0.00209182	1.25576	0.209204	2.28985e+06	286731	285534
TderUga	TscrGha	ScafKen	0.102037	44.0202	2.3e-16	1.15352e+06	743488	605809
TderUga	TspeBot	ScafKen	0.0422946	23.3384	2.3e-16	1.47327e+06	618170	568002
TderUga	TspeCam	ScafKen	0.0407976	21.9756	2.3e-16	1.47577e+06	619712	571128
